12/04/2019;1.631,30
13/04/2019;1.508,50
14/04/2019;1.371,40
15/04/2019;1.629,10
16/04/2019;1.651,40
17/04/2019;1.640,30
18/04/2019;1.606,90
19/04/2019;1.344,50
20/04/2019;1.383,10
21/04/2019;1.307,40
22/04/2019;1.588,90
23/04/2019;1.615,40
24/04/2019;1.642,30
25/04/2019;1.659,40
26/04/2019;1.661,80
27/04/2019;1.518,90
28/04/2019;1.365,20
29/04/2019;1.586,00
30/04/2019;1.599,30
01/05/2019;1.385,10
02/05/2019;1.580,90
03/05/2019;1.615,00
04/05/2019;1.476,30
05/05/2019;1.359,20
06/05/2019;1.622,60
07/05/2019;1.630,00
08/05/2019;1.601,60
09/05/2019;1.586,40
10/05/2019;1.594,00
11/05/2019;1.469,30
12/05/2019;1.322,70
13/05/2019;1.578,20
14/05/2019;1.601,80
15/05/2019;1.557,20
16/05/2019;1.540,80
17/05/2019;1.516,80
18/05/2019;1.374,00
19/05/2019;1.249,90
20/05/2019;1.489,30
21/05/2019;1.534,70
22/05/2019;1.552,70
23/05/2019;1.557,90
24/05/2019;1.552,60
25/05/2019;1.394,70
26/05/2019;1.255,80
27/05/2019;1.494,30
28/05/2019;1.545,50
29/05/2019;1.563,40
30/05/2019;1.576,80
31/05/2019;1.575,90
01/06/2019;1.437,20
02/06/2019;1.285,20
03/06/2019;1.510,60
04/06/2019;1.520,40
05/06/2019;1.487,40
06/06/2019;1.486,10
07/06/2019;1.492,00
08/06/2019;1.372,20
09/06/2019;1.238,20
10/06/2019;1.470,00
11/06/2019;1.515,20
12/06/2019;1.526,10
13/06/2019;1.531,30
14/06/2019;1.539,70
15/06/2019;1.415,90
16/06/2019;1.270,10
17/06/2019;1.495,50
18/06/2019;1.524,30
19/06/2019;1.524,70
20/06/2019;1.366,80
21/06/2019;1.432,00
22/06/2019;1.344,60
23/06/2019;1.230,70
24/06/2019;1.446,90
25/06/2019;1.518,00
26/06/2019;1.534,40
27/06/2019;1.541,80
28/06/2019;1.537,30
29/06/2019;1.411,40
30/06/2019;1.270,10
01/07/2019;1.493,70
02/07/2019;1.527,90
03/07/2019;1.542,80
04/07/2019;1.539,70
05/07/2019;1.531,20
06/07/2019;1.360,40
07/07/2019;1.202,10
08/07/2019;1.380,70
09/07/2019;1.397,90
10/07/2019;1.444,60
11/07/2019;1.454,80
12/07/2019;1.458,10
13/07/2019;1.340,60
14/07/2019;1.226,00
15/07/2019;1.455,60
16/07/2019;1.485,00
17/07/2019;1.475,60
18/07/2019;1.470,30
19/07/2019;1.468,60
20/07/2019;1.334,70
21/07/2019;1.206,20
22/07/2019;1.435,70
23/07/2019;1.486,00
24/07/2019;1.498,60
25/07/2019;1.498,30
26/07/2019;1.488,30
27/07/2019;1.362,20
28/07/2019;1.226,40
29/07/2019;1.452,30
30/07/2019;1.495,90
31/07/2019;1.500,50
01/08/2019;1.507,30
02/08/2019;1.518,10
03/08/2019;1.354,50
04/08/2019;1.209,60
05/08/2019;1.423,50
06/08/2019;1.462,80
07/08/2019;1.479,90
08/08/2019;1.506,70
09/08/2019;1.519,50
10/08/2019;1.398,90
11/08/2019;1.261,50
12/08/2019;1.514,90
13/08/2019;1.541,20
14/08/2019;1.509,10
15/08/2019;1.476,10
16/08/2019;1.481,10
17/08/2019;1.360,50
18/08/2019;1.252,60
19/08/2019;1.489,20
20/08/2019;1.522,90
21/08/2019;1.518,10
22/08/2019;1.514,00
23/08/2019;1.506,30
